words,definition
Dial-up connection,<span> Kết nối quay số</span>
CHMOD,"<p>Là chữ viết tắt của Change Mode. Đây là lệnh của UNIX được dùng để thay đổi quyền truy cập của một file hay của một thư mục để đọc, chỉnh sửa hoặc chạy files đó. CHMOD có 3 dạng chính “r,w và x” ở đó R = Read, W = Write và X = Execute. CHMOD thường có 3 số (755) và số 0 đứng đầu thường được bỏ đi.</p>"
CAPTCHA,"<p>Trong thiết kế web, Captcha được thiết kế để phân biệt giữa người dùng và con bot. Thông thường một CAPTCHA bao gồm một hình ảnh có chứa các chữ cái hoặc con số được ghi lại một cách ngoằn ngoèo. Sau đó người dùng phải nhập những chữ cái vào một hộp văn bản trên biểu mẫu. Mục đích của Captcha là để giảm bớt hình thức thư rác bằng cách tạo ra các chữ cái mà con bot không đọc được nhưng người dùng vẫn có khả năng. </p>"
CGI,"<p>Viết tắt của common gateway interface, CGI cho phép khách truy cập (visitor) vào một trang web để gửi và nhận thông tin từ một máy chủ (server). Tập lệnh CGI (CGI script) có thể chấp nhận một tập hợp các từ khóa (keyword) do người dùng nhập làm đầu vào, xử lý tìm kiếm và trả về kết quả cho trình duyệt web (web browser) của người dùng. Thông thường, các tập lệnh CGI (ví dụ: tập lệnh Perl) và các file thực thi được chạy qua thư mục cgi-bin.</p>"
Clutter,<span> Lộn xộn</span>
Coder,<span> Người viết Code</span>
Compile error,<p>Lỗi khi biên dịch chương trình</p>
Casting Syntax,<span> Cú pháp ép kiểu</span>
CDN,<span> Mạng phân phối nội dung</span>
CDF,<span> Hàm phân phối tích lũy</span>
CDATA,<p>CDATA là chuỗi ký tự trong một tài liệu mà không cần phải được phân tích bằng cú pháp XML. Bất kỳ đơn vị trong khối CDATA sẽ không được thay thế bằng giá trị và những đánh dấu (ví dụ như các thẻ HTML) của chúng sẽ không được coi như là sự đánh dấu thông thường.</p>
Continuous media,"<p>Continuous media là nội dung mà không được phân chia thành một hoặc nhiều trang rời rạc. Có một sự khác nhau từ phương tiện truyền thông phân trang vì nó có thể di chuyển mãi mãi mà không ngắt trang, số trang hoặc các khía cạnh khác của phương tiện truyền thông in ấn.</p>"
Client-server model,<span> Mô hình máy khách/ máy chủ</span>
Contextual Selector,<span> Bộ chọn ngữ cảnh</span>
Control Structures,<span> Cấu trúc điều khiển</span>
Banner blindness,"<p>Đề cập đến việc hành động/thói quen bỏ qua các quảng cáo banner. Thuật ngữ này ngụ ý chính xác những người thường không thấy các banner quảng cáo, dù nó có lớn, bởi vì họ có thói quen tập trung vào nội dung văn bản. Banner quảng cáo có tỷ lệ click và tỷ lệ chuyển đổi thấp hơn so với các quảng cáo có ngữ cảnh.</p>"
Bells and whistles,"<p>Tên chung dùng để mô tả tất cả các cách thức lạ mắt, tính năng tiên tiến. Nếu website có "" all the bells and whistles"" thì nó đã có mọi thứ bạn mong muốn.</p>"
Beta test,<span> Thử nghiệm beta</span>
Black hat,<span> Kỹ thuật mũ đen</span>
Bot,"<p>Viết tắt ""robot"". Xem Spider</p>"
Broken link,<span> Link hỏng</span>
Backlink,<span> Liên kết trỏ về</span>
backbone,"<p>Backbone hoặc core network là một phần của mạng máy tính kết nối các mạng với nhau, cung cấp một đường đi (path) để trao đổi thông tin giữa các mạng LAN hoặc mạng con (subnetwork) khác nhau. Một backbone  có thể kết nối các mạng đa dạng với nhau trong cùng một tòa nhà, trong các tòa nhà khác nhau trong môi trường khuôn viên trường hoặc trên các khu vực rộng lớn.</p>"
Binary Tree,<span> Cây nhị phân</span>
Buble Sort,<span> Sắp xếp nổi bọt</span>
Base,"<p>Trong toán học, hệ cơ số là số các chữ số khác nhau mà hệ thống đếm sử dụng để đại diện cho số. Ví dụ, hệ cơ số phổ biến nhất được sử dụng hiện nay là hệ thống số thập phân. Ví dụ ""dec"" có nghĩa là 10, nó sử dụng cho 10 chữ số từ 0 đến 9.</p>"
Base class,"<span> Lớp cơ sở, lớp cha</span>"
BMP,"<p>Trong đồ họa máy vi tính, BMP, còn được biết đến với tên tiếng Anh khác là Windows bitmap, là một định dạng tập tin hình ảnh khá phổ biến. Các tập tin đồ họa lưu dưới dạng BMP thường có đuôi là .BMP hoặc .DIB (Device Independent Bitmap)</p>"
Bitrix Site Manager,<span> Hệ quản trị nội dung Bitrix</span>
Bitrix intranet,"<p>Bitrix Intranet là giải pháp quản lý thông tin nội bộ với độ an toàn cao, giải pháp quản lý cho các doanh nghiệp vừa và nhỏ được thiết kế thúc đẩy sự hợp tác hiệu quả, trao đổi thông tin liền mạnh, mạng xã hội tích hợp, quản lý công việc và kiến thức. Sản phẩm này cho phép tăng năng suất nhân viên, tạo động lực và nâng cao nhận thức, và linh hoạt hơn cho hoạt động nội bộ. </p>"
Bitrix,"<p>Bitrix là một tập đoàn công nghệ web được thành lập vào năm 1998 bởi các chuyên gia tiên phong về web. 1c- Bitrix(tên thương hiệu tại Nga) đặt trụ sở tại Alexandria- Nga và đã hình thành các văn phòng đại diện tại Moscow, Russia; Kiev, Ukraine và Mỹ theo sự phát triển không ngừng. Đến hôm nay 1c-Bitrix và Bitrix được biết đến như là một tổ chức công nghệ với hơn 90 chuyên gia công nghệ lập trình; 85,000 khách hàng sử dụng giải pháp Bitrix và hơn 9,000 đối tác trên toàn cầu.</p>"
Bad neighborhood,<span> Khu vực xấu</span>
Below the fold,<span> Bên dưới nếp gấp</span>
block-level element,"<p>Trong lập trình HTML, block-level element là bất kỳ phần tử nào bắt đầu một dòng mới (ví dụ: đoạn văn) và sử dụng toàn bộ chiều rộng của trang hoặc vùng chứa. Block-level element có thể chiếm một dòng hoặc nhiều dòng và có dấu ngắt dòng trước và sau phần tử.</p>"
Bounce rate,<span> Tỷ lệ thoát trang</span>
Brightness,<span> Độ sáng</span>
Banner ad,<span> Banner quảng cáo</span>
Baud,<p>Số ký hiệu mỗi giây được gửi qua một kênh.</p>
BBS,<span> (Hệ thống thông báo trung ương</span>
Binary Data,<p>Dữ liệu trong máy được lưu trữ dưới dạng có thể đọc được.</p>
Binary Digit,<span> Chữ số nhị phâ</span>
hdse,<span> Chứng Chỉ Lập Trình Viên Quốc Tế</span>
BPS,<span> Băng thông</span>
Binary Term,<span> Tiền tố nhị phân</span>
body copy,<span> Phần chính văn bản</span>
Brand,<span> Thương hiệu</span>
Brand elements,<span> Yếu tố thương hiệu</span>
Brand mark,<span> Dấu hiệu</span>
Brand Platform,<span> Nền tảng thương hiệu</span>
Above the Fold,<span> Phần thông tin người dùng có thể nhìn thấy mà không cần cuộn chuột</span>
Accessibility,<span> Khả năng tiếp cận</span>
Abbreviation element,<span> Phần viết tắt</span>
Alt attribute,<span> Thuộc tính Alt</span>
Alt tag,<span> Thẻ alt</span>
Anti-aliasing,<span> Khử răng cưa</span>
ARPANet,<span> Mạng lưới Cơ quan với các đề án nghiên cứu tân tiến</span>
ASP,"<p>Hay còn gọi là ASP.NET- ngôn ngữ lập trình, một nền tảng ứng dụng web (web application framework) được phát triển và cung cấp bởi Microsoft, cho phép những người lập trình tạo ra những trang web động, những ứng dụng web và những dịch vụ web. Lần đầu tiên được đưa ra thị trường vào tháng 2 năm 2002 cùng với phiên bản 1.0 của .NET framework, là công nghệ nối tiếp của Microsoft's Active Server Pages(ASP). ASP.NET được biên dịch dưới dạng Common Language Runtime (CLR), cho phép những người lập trình viết mã ASP.NET với bất kỳ ngôn ngữ nào được hỗ trợ bởi .NET language</p>"
Affiliate program,<span> Chương trình tiếp thị liên kết</span>
Associate program,<span> Chương trình liên kết</span>
ADN,<span> Mạng kỹ thuật số nâng cao</span>
Anonymous FTP,<span> Truy cập cộng đồng</span>
Applet,"<p>Applet là một chương trình nhỏ, bổ sung, thực hiện một công việc mà một chương trình lớn hơn không có khả năng thực hiện. Ví dụ, Sun Java applet  là một file trên trang web cung cấp chức năng bổ sung không được HTML hỗ trợ.</p>"
Applet,"<p>Trong ngữ cảnh của desktop của Ubuntu, applet là chương trình nhỏ chạy như một phần của chương trình lớn hơn và cung cấp các chức năng bổ sung cho chương trình chính. Ví dụ desktop GNOME chứa một số applet trong khu vực thông báo (notification area) của nó.</p>"
Application server,<span> Máy chủ ứng dụng</span>
assign,<span> Gán</span>
allocate memory,<p>Cấp phát bộ nhớ</p>
assigment,<span> Toán tử gán (a=5)</span>
addition,<span> Phép cộng</span>
Addition assigment,<p>Toán tử cộng bằng (a+=b)</p>
Array subscript,<p>Toán tử hai ngoặc vuông [] trong array (a[3])</p>
Activemovie,<p>Một công nghệ web cho phép streaming phim từ một máy chủ web tới một client web. Được phát triển bởi Microsoft.</p>
ActiveX,"<p>ActiveX là một extension cho các công nghệ OLE và COM của Microsoft được sử dụng trong các ứng dụng và trên Internet. Sử dụng ActiveX, một trình duyệt (browser ) có thể tương tác với máy tính của bạn nhiều hơn những gì có sẵn thông qua HTML. Ví dụ: ActiveX cho phép người dùng quét vi-rút máy tính trong trình duyệt của họ bằng các trình quét chống vi-rút (antivirus scanner) trực tuyến miễn phí hoặc quét máy tính của họ để tìm bất kỳ bản cập nhật Windows nào.</p>"
ActiveX Data Object,<p>ActiveX Data Object là một API của Microsoft cho phép một người đang phát triển ứng dụng truy cập thông tin từ cơ sở dữ liệu khác trong ứng dụng đó.</p>
ADSL,<p>ADSL viết tắt là Asymmetric Digital Subscriber Line. Một loại hình đặc biệt của đường truyền DSL có tốc độ tải lên là khác biệt với tốc độ tải xuống.</p>
amaya,"<p>Một mã nguồn mở của trình soạn thảo trình duyệt web từ W3C, được sử dụng để thúc đẩy những ý tưởng tiên tiến trong thiết kế trình duyệt.</p>"
Anti-Virus program,<span> Chương trình diệt virus</span>
archie,<p>Một chương trình máy tính để xác định vị trí các tập tin trên các máy chủ FTP công cộng.</p>
ASF,<p>ASF viết tắt là Advanced Streaming Format. Một định dạng đa phương tiện dùng để streaming. Phát triển bởi Microsoft cho Windows Media.</p>
ASX,<p>ASX là từ viết tắt của ASF Streaming Redirector. Một định dạng XML để lưu trữ thông tin về các tập tin ASF. Phát triển bởi Microsoft cho Windows Media.</p>
AVI,<p>AVI là từ viết tắt của Audio Video Interleave. Định dạng tập tin cho các tập tin video. Công nghệ nén video được phát triển bởi Microsoft.</p>
A/B Testing,<span> Thử nghiệm A/B</span>
adapter card,<span> Cạc mở rộng</span>
affiliates,<span> Các website tiếp thị</span>
ARP cache,"<p>ARP cache như một bảng (table), trong đó mỗi hàng (entry, record) dùng để lưu địa chỉ IP và địa chỉ MAC tương ứng với địa chỉ IP đó để lần sau một thiết bị muốn giao tiếp với thiết bị khác nó không cần broadcast message trên toàn bộ mạng, nó chỉ cần tra trong ARP cache. Để hiểu rõ hơn tại sao cần  ARP cache xem giao thức ARP (ARP protocol)</p>"
ARP protocol,<span> Giao thức ARP</span>
IP spoofing,<span> Giả mạo IP</span>
switch,<p>Là một thiết bị phần cứng trong mạng máy tính kết nối các thiết bị khác với nhau theo mô hình sao (star topology). Switch nhận các gói dữ liệu đến và chuyển hướng chúng đến đích trên mạng cục bộ (LAN)</p>
Wi-Fi hotspot,<span> Điểm phát sóng Wi-Fi</span>
man-in-the-browser attack,"<p>Một kiểu tấn công khi một chương trình độc hại giành quyền kiểm soát lưu lượng truy cập (traffic) giữa máy tính của người dùng và máy chủ web (web server) của một website và thay đổi nội dung của trang web. Phần mềm độc hại tích hợp vào hệ điều hành (operating system) của nạn nhân và cài đặt tiện ích mở rộng (extension) của trình duyệt. Khi nạn nhân khởi động trình duyệt (browser) và tải trang lên, tiện ích mở rộng sẽ kiểm tra xem địa chỉ của nó có khớp với địa chỉ trên danh sách các trang web mục tiêu của kẻ lừa đảo hay không (chúng hầu hết là các trang web được kết nối với các giao dịch tài chính). Nếu trang được tải lên khớp với địa chỉ trên danh sách, thì tiện ích mở rộng sẽ chặn hoặc thay đổi dữ liệu mà người dùng đã nhập vào form trên trang web và được gửi đến máy chủ (server). Điều đó cho phép kẻ gian đánh chặn mật khẩu (password) hoặc thay đổi dữ liệu giao dịch.</p>"
endpoint authentication,"<p>Endpoint authentication là một cơ chế xác thực được sử dụng để xác minh danh tính của thiết bị kết nối từ xa hoặc bên ngoài của mạng. Phương pháp này đảm bảo rằng chỉ các thiết bị được phép mới có thể kết nối với một mạng, trang web hoặc dịch vụ nhất định. </p>"
access point,<span> Điểm truy cập</span>
wireless access point,<p>Một thuật ngữ thừa vì tất cả các điểm truy cập (access point) đều không dây</p>
eavesdropping,<span> Nghe lén</span>
computer fraud,"<p>Là tội phạm mạng (cybercrime) và hành vi sử dụng máy tính để lấy hoặc thay đổi dữ liệu điện tử, hoặc sử dụng trái phép máy tính hoặc hệ thống.</p>"
charge card number,<span> Số thẻ thanh toán</span>
attacker,<p>Một người hoặc chương trình máy tính cố gắng gây hại cho hệ thống thông tin (information system).</p>
party,<span> Bên</span>
cyberattack,<span> Tấn công mạng</span>
pit,"<p>Trong công nghệ đĩa quang, một chùm tia laze làm thay đổi bề mặt của đĩa nhựa hoặc đĩa kim loại để biểu diễn dữ liệu (data). Không giống như đĩa cứng (hard disk), sử dụng từ tính (magnetic charge) để biểu thị 1s và 0s, đĩa quang sử dụng ánh sáng phản xạ. Các số 1 và số 0 được biểu thị bằng các khu vực bằng phẳng (flat area) được gọi là land và các khu vực gập ghềnh (bumpy area) được gọi là pit trên bề mặt đĩa. Đĩa được đọc bởi một ổ đĩa quang (optical disc drive) bằng cách sử dụng tia laser chiếu một chùm ánh sáng cực nhỏ vào những khu vực này. Lượng ánh sáng phản xạ xác định xem khu vực này biểu thị số 1 hay số 0</p>"
land,"<p>Trong công nghệ đĩa quang, một chùm tia laze làm thay đổi bề mặt của đĩa nhựa hoặc đĩa kim loại để biểu diễn dữ liệu (data). Không giống như đĩa cứng (hard disk), sử dụng từ tính (magnetic charge) để biểu thị 1s và 0s, đĩa quang sử dụng ánh sáng phản xạ. Các số 1 và số 0 được biểu thị bằng các khu vực bằng phẳng (flat area) được gọi là land và các khu vực gập ghềnh (bumpy area) được gọi là pit trên bề mặt đĩa. Đĩa được đọc bởi một ổ đĩa quang (optical disc drive) bằng cách sử dụng tia laser chiếu một chùm ánh sáng cực nhỏ vào những khu vực này. Lượng ánh sáng phản xạ xác định xem khu vực này biểu thị số 1 hay số 0</p>"
USB flash drive,<span> Ổ USB</span>
flash memory card,"<p>Là thiết bị lưu trữ thể rắn (solid-state storage device) nhỏ  thường được sử dụng để lưu trữ ảnh, video hoặc dữ liệu khác trong các thiết bị điện tử. Flash memory được sử dụng để lưu trữ hình ảnh được chụp từ máy ảnh kỹ thuật số và sau đó để chuyển hình ảnh sang máy tính để bàn và máy tính khác. Flash memory cũng được sử dụng trong các máy nghe nhạc kỹ thuật số như iPod để lưu trữ và phát các file nhạc và video..</p>"
file,"<span> Tập tin, tệp</span>"
solid-state drive,<span> Ổ cứng SSD</span>
decompression,<span> Giải nén</span>
file compression,<span> Nén tập tin</span>
RAID,"<p>RAID là hình thức ghép nhiều ổ đĩa cứng vật lý thành một hệ thống ổ đĩa cứng giúp cải thiện hiệu suất bằng cách mở rộng bộ nhớ ngoài (external storage), cải thiện tốc độ truy cập và cung cấp bộ nhớ đáng tin cậy (reliable storage). Một số ổ đĩa cứng (hard-disk drive) rẻ tiền được kết nối với nhau. Các kết nối này có thể qua mạng hoặc trong các thiết bị RAID chuyên dụng.  Các ổ đĩa cứng được kết nối có liên quan hoặc được nhóm lại với nhau và hệ thống máy tính tương tác với hệ thống RAID như thể nó là một ổ đĩa cứng dung lượng lớn nhất. Kết quả là khả năng lưu trữ được mở rộng, tốc độ truy cập nhanh và độ tin cậy cao. Vì những lý do này, RAID thường được sử dụng bởi các máy chủ Internet và các tổ chức lớn..</p>"
Zend Framework,<p>Zend Framework là một PHP Framework chuyên nghiệp đuợc lập trình trên PHP dựa theo mô hình MVC. Nó có thể được sử dụng để phát triển các ứng dụng và dịch vụ web.</p>
Visual Studio,<p>Là phần mềm lập trình (IDE) sử dụng để tạo các chương trình C# hoặc Visual Basic. Được xây dựng và phát triển trực tiếp từ ông lớn Microsoft.</p>
VPS,<span> Máy chủ ảo</span>
UNIX,"<p>UNIX là một hệ điều hành đã phổ biến trong quá khứ (được phát triển vào thập kỷ 60). Tất nhiên, nó vẫn được sử dụng. Ngày nay, khi bạn muốn sử dụng một hệ điều hành giống UNIX, người ta thường sử dụng Linux. Thỉnh thoảng, tôi thấy có ý kiến ​​cho rằng ""Tôi không hiểu sự khác biệt giữa UNIX và Linux"", hãy nghĩ theo cách ""UNIX là sư phụ và Linux là đệ tử."" Linux đã được tạo với tham chiếu đến UNIX.</p>"
ubuntu,<p>Ubuntu là một hệ điều hành trên máy tính được phát triển dựa trên Linux/Debian GNU và nó hoàn toàn miễn phí.</p>
UAT,<span> Kiểm thử chấp nhận của người dùng</span>
URL scheme,"<p>Là phần mở đầu trước dấu "":"" của URL, có 3 dạng chính là : http, https, ftp. Http là giao thức truyền tải siêu văn bản. Nó là giao thức cơ bản nhất của URL Https giống như giao thức Http, nhưng nó có thêm chức năng mã hóa dữ liệu SSL trong khi truyền tải chúng. Ftp là giao thức chuyển đổi file giữa trình duyệt và server</p>"
Terabyte,"<p>Là một đơn vị lưu trữ dữ liệu, 1 terabyte có thể chứa 1.000.000.000.000 byte (1 ngàn tỷ byte)</p>"
NER,<span> Nhận dạng thực thể</span>
POS,"<p>POS (Part of Speech) còn gọi là gán nhãn từ loại có nhiệm vụ tách từ loại ra thành: danh từ, đại từ, động từ, trạng từ, tính từ, liên từ, giới từ, từ kết nối.</p>"
Tokenizer,"<p>Là một thuật toán có nhiệm vụ tách từ, cụm từ trong văn bản và là 1 nhánh con trong NLP.</p>"
Telnet,"<p>Viết tắt của ""TerminaL Network"", lệnh này sử dụng khi muốn kết nối với các máy tính khác. Lệnh ""telnet"" có thể được sử dụng trên UNIX (Linux, Mac, v.v.) và Windows. Telnet có cấu trúc đơn giản. Nó chỉ truyền tải dòng lệnh thông qua 02 bộ phận client (máy cá nhân) và server (máy chủ). Telnet đã tồn tại nhược điểm cực lớn là bảo mật kém ngay từ khi ra đời. Vì nhược điểm của nên giao thức SSH đã được ra đời thay thế. Ngày nay, SSH là giao thức chủ yếu các quản trị viên mạng</p>"
trigger,"<p>Trigger là một loại stored procedure đặc biệt (không có tham số) được thực thi (execute) một cách tự động khi có một sự kiện thay đổi dữ liệu (data modification) như INSERT, UPDATE hoặc DELETE. Trigger có thể được thực hiện trước hoặc sau sự kiện.</p>"
trigger,<p>Trigger là một cơ chế bắt đầu một hành động khi một sự kiện (event) xảy ra chẳng hạn như đạt đến một thời gian hoặc ngày nhất định hoặc khi nhận được một số loại đầu vào (input). Trigger thường khiến cho một hàm (function) được thực thi.</p>
trigger,<p>Trigger là một điều kiện gây ra tác hại của logic bomb chẳng hạn như nhiều vi rút và sâu (worm). Nhiều dạng phần mềm độc hại (malicious software) sử dụng các ngày cụ thể làm trigger. Một số vi rút đếm số lần lây nhiễm và kích hoạt payload của chúng ở một con số cụ thể.</p>
text similarity,"<p>Là so sánh độ tương tự của văn bản. So sánh độ tương tự về cú pháp, ngữ nghĩa của văn bản. Một vấn đề khá đơn giản với con người, tuy nhiên lại không phải vấn đề đơn giản với máy tính.</p>"
SaaS,"<p>Viết tắt của ""Software as a service"", SaaS ( Phần mềm dưới dạng dịch vụ ) là mô hình phân phối phần mềm trong đó nhà cung cấp bên thứ ba cung cấp các ứng dụng cho khách hàng thông qua Internet.</p>"
SVN,"<p>Viết tắt của Subversion, là hệ thống quản lý các phiên bản mã nguồn khác nhau trong quá trình phát triển phần mềm.</p>"
schema,"<p>Trong SQL, schema là một namespace chứa các table có liên quan với nhau vào một nhóm. Schema giúp bạn phân nhóm các table có liên quan lại giúp dễ dàng quản lý. Hơn nữa việc tạo schema giúp phân quyền cho từng user khác nhau, giúp tăng tính bảo mật. Trong một database thì tên của schema là duy nhất, và có thể tạo 2 table trùng tên với điều kiện chúng phải ở 2 schema khác nhau.</p>"
schema,"<p>Lược đồ (schema) là một phác thảo, sơ đồ hoặc mô hình. Trong tin học, lược đồ (schema) thường được sử dụng để mô tả cấu trúc của các loại dữ liệu khác nhau. Hai ví dụ phổ biến bao gồm cơ sở dữ liệu và XML. Xem thêm database schema và XML schema. Một nhà phát triển trò chơi có thể xác định một lược đồ (schema) để mô tả các đối tượng 3D được sử dụng trong một trò chơi điện tử. Nhà phát triển phần mềm có thể sử dụng lược đồ (schema) để mô tả cấu trúc của định dạng file được ứng dụng sử dụng.</p>"
schema,"<p>Trong cơ sở dữ liệu (database), schema là mô tả tổng thể của cơ sở dữ liệu . Cấu trúc cơ bản về cách dữ liệu sẽ được lưu trữ trong cơ sở dữ liệu được gọi là schema. Schema  có ba loại: Logical Schema, Physical Schema và view Schema. </p>"
schema,"<p>Trong quan hệ (relation), schema bao gồm các thuộc tính (attribute) của nó và tùy chọn các kiểu dữ liệu của thuộc tính và ràng buộc (constraint) trên quan hệ, chẳng hạn như ràng buộc khóa chính (primary key constraint) và ràng buộc khóa ngoại (foreign key constraint).</p>"
SHA-2,"<p>Viết tắt Secure Hash Algorithm, SHA-2 là một tập hợp các hàm băm mật mã được thiết kế bởi Cơ quan An ninh Quốc gia Hoa Kỳ và được xuất bản lần đầu tiên vào năm 2001, là sự kế thừa của SHA-1. Thường được sử dụng đề băm mật khẩu trước khi gửi chúng lên server. Chứa sáu hàm hash ở các cấp độ khác nhau: SHA-224, SHA-256, SHA-384, SHA-512, SHA-512/224 và SHA-512/256</p>"
screen lock,<span> Khóa màn hình</span>
spelling correction,<p>Là việc xử lý sửa lỗi chính tả trong ngôn ngữ và là nhánh con trong NLP.</p>
Snipping Tool,<p>Là một phần mềm chụp ảnh màn hình có sẵn trên windows </p>
SQL Server,<p>SQL Server là một hệ quản trị cơ sở dữ liệu quan hệ (RDBMS) sử dụng câu lệnh SQL để lưu trữ và xử lý dữ liệu.</p>
SQL injection,"<p>Là kỹ thuật lợi dụng lỗ hổng bảo mật, hacker thực hiện một cuộc tấn công tạo ra các hành động lạ bằng cách đặt các câu lệnh SQL bất hợp pháp. SQL injection có thể cho phép những kẻ tấn công thực hiện các thao tác, delete, insert, update, v.v. trên cơ sở dữ liệu của ứng dụng.</p>"
ReactJS,<p>Là một JavaScript Framework miễn phí có mã nguồn mở chuyên dụng cho thiết kế website.</p>
Automated Regression Testing,<span> Kiểm thử hồi quy tự động</span>
regression testing,"<span> Kiểm thử hồi quy, Test hồi quy</span>"
robot.txt,<p>Tập tin robots.txt giúp cho trình thu thập dữ liệu của các công cụ tìm kiếm biết được là có thể hay không thể yêu cầu thu thập dữ liệu từ những trang hoặc tệp nào trên trang web của bạn.</p>
QR Code,"<p>Viết tắt của Quick response code Là một dạng thông tin được mã hóa để hiển thị sao cho máy có thể đọc được. Có thể bạn đã quá quen thuộc với hình ảnh một ô vuông có rất nhiều ký tự lạ chồng chéo lên nhau và được in lên các sản phẩm. Đó chính là QR Code đấy. QR code cho phép đọc nhanh chóng bằng cách quét điện thoại smartphone với camera. Rất tiện lợi và nhanh chóng. Hiện nay, QR code có ở khắp nơi. Chúng ta sẽ dễ dàng nhìn thấy chúng ở các sản phẩm trong siêu thị, tìm kiếm bạn bè trên các mạng xã hội facebook, zalo ...</p>"
PSD,"<p>Viết tắt của  Photoshop Document, File PSD là một tệp dữ liệu được lưu từ phần mềm Adobe Photoshop, trong đó có đầy đủ các layer (lớp) của hình ảnh như lúc làm photoshop. File của bạn đang chỉnh sửa có chứa văn bản, hình ảnh,... khi lưu dưới dạng PSD thì tất cả những layer trên đều được lưu trữ lại. Khi bạn hoặc người khác mở lại file này sẽ giống hệt như lúc bạn đã lưu. Từ file PSD có thể dễ dàng lưu trữ ra các định dạng ảnh khác như PNG, JPG ....</p>"
device platform,<span> Nền tảng thiết bị</span>
Objective-C,"<p>Là một ngôn ngữ lập trình hướng đối tượng. Nó có thể sử dụng để viết phần mềm phục vụ cho nhiều mục đích khác nhau, tuy nhiên hiện nay thường dùng để lập trình trên hệ thống iOS và macOS của Apple.</p>"
ODBC,"<p>Viết tắt của Open Database Connectivity, là trình thông dịch được tạo bởi Microsoft giúp tương tác với cơ sở dữ liệu.</p>"
Nginx,"<p>Là một trong các phần mềm web server mã nguồn mở thông dụng nhất trên thế giới, sử dụng kiến trúc đơn luồng hướng sự kiện bất đồng bộ (asynchronous) nên có hiệu năng rất cao, có khả năng xử lý cùng một lúc hơn 10.000 kết nối với bộ nhớ thấp. Trong hầu hết các trường hợp, Nginx nhẹ hơn và có khả năng mở rộng hơn Apache.</p>"
NLP,<span> Xử lý ngôn ngữ tự nhiên</span>
module,<span> Mô-đun</span>
module,<span> Mô-đun</span>
Mbps,"<p>Viết tắt của Megabit per second, là đơn vị đo tốc độ truyền dẫn dữ liệu trên internet cụ thể là tốc độ download, upload trên máy tính hoặc điện thoại. 1 Mbps (megabits trên giây) tương đương với 1.000 kilobit trên giây hay 1.000.000 bit trên giây.</p>"
Microsoft Outlook,"<p>Đây là một trong những sản phẩm của ""Microsoft Office"" và là một phần mềm email được tạo bởi Microsoft.</p>"
mockup,"<p>Mockup là một bản thiết kễ mẫu. Là mô hình thu nhỏ, là hình ảnh mô phỏng mẫu thiết kế có thực hoặc sẽ thiết kế trong tương lai. Thường là các file PSD, vector hay HTML làm bản mẫu.</p>"
landing page,"<p>Landing page (hay LP) là một website độc lập, thường tập trung vào mục đích cụ thể. Cụ thể nó thường được sử dụng cho marketing, nhằm quảng bá doanh nghiệp hoặc kêu gọi người dùng mua hàng, nhập thông tin. Thông tin trên landing page thường có hình ảnh bắt mắt, nội dung dẫn dắt và thuyết phục người đọc thực hiện một mục tiêu chuyển đổi cụ thể.</p>"
lifetime commission,<span> Hoa hồng trọn đời</span>
Lync Online,"<p>Là phần mềm giao tiếp trực tuyến của Microsoft như cuộc họp, IM, thông tin liên hệ và hiện diện, cuộc gọi điện thoại và video... qua Internet.</p>"
Kbps,"<p>Viết tắt của kilobits per second, kbps hoặc kb / s là đơn vị đo tốc độ truyền dữ liệu; 1 kbps là 1.024 bps. Tốc độ modem máy tính thường được biểu thị bằng kb / giây, ví dụ: Modem 28,8 kbps (28.800 bps).</p>"
Kbps,"<p>Trong âm nhạc thuật ngữ Kbps có lẽ thường thấy trong lĩnh vực âm nhạc, các thuật ngữ như 128 kbps, 320 kbps. Với nhạc 128 Kbps thì máy tính phải xử lý 128.000 bit trên giây, với nhạc 320 Kbps thì máy tính phải xử lý 320.000 bit trên giây. Với việc chỉ số càng cao thì chất lượng âm thanh sẽ càng hay hơn, cảm nhận tuyệt vời hơn, so sánh ở trên thì chất lượng nhạc 320kbps sẽ hay hơn rất nhiều so với 128kbps.</p>"
JRE,"<p>JRE là tập hợp của JVM (Java virtual machine), Java class libraries, Java class loader. Cung cấp các yêu cầu tối thiểu và cơ bản để có thể thực thi một ứng dụng bằng Java. Java class loader nạp các classes với các thư viện Java (Java libraries) và kết nối với JVM. Java virtual machine (JVM) là 1 máy ảo để thông dịch và thực thi các chương trình Java. Các chương trình Java được thực thi trên JVM nên đảm bảo chương trình Java có thể chạy trên hầu hết các hệ điều hành mà không cần sửa đổi code. Tuy nhiên JRE chỉ được sử dụng bởi những người chỉ muốn chạy các chương trình Java. Nếu bạn muốn phát triển ứng dụng Java cần cài đặt JDK (trong JDK, JRE sẽ được cài đặt mặc định đi kèm)</p>"
JDK,<p>Là một bộ phần mềm cung cấp môi trường phát triển ứng dụng viết bằng ngôn ngữ Java. JDK viết tắt của Java Development Kit. Là một trong ba gói công nghệ cốt lõi được sử dụng trong lập trình Java. Ngoài ra còn có JVM (Java Virtual Machine - Máy ảo Java) và JRE (Java Runtime Environment - môi trường thực thi). JDK = JRE + Dev Tools (Các công cụ hỗ trợ phát triển ứng dụng)</p>
